,PartialOrder__Hamming__2,PartialOrder__Hamming__None,PartialOrder__Subset__2,PartialOrder__Subset__None,PreOrder__Hamming__2,PreOrder__Hamming__None,PreOrder__Subset__2,PreOrder__Subset__None
PartialOrder__Hamming__2,1.0,0.7579426666595214,0.9999995101840434,0.4353217242738816,0.010518479264265634,4.347378305458172e-06,0.007442772515657836,2.5727990643487075e-06
PartialOrder__Hamming__None,0.7579426666595214,1.0,0.8598141215994575,0.9997402346156786,0.5338373074420204,0.00623501691790973,0.46764987264841784,0.004340257284988547
PartialOrder__Subset__2,0.9999995101840434,0.8598141215994575,1.0,0.5672704055757918,0.020314000464026538,1.2071188413620426e-05,0.014700606216242806,7.278038758440353e-06
PartialOrder__Subset__None,0.4353217242738816,0.9997402346156786,0.5672704055757918,1.0,0.8370127106198055,0.032289048144192756,0.785948700844209,0.023776690079980733
PreOrder__Hamming__2,0.010518479264265634,0.5338373074420204,0.020314000464026538,0.8370127106198055,1.0,0.6661463221588553,0.9999999960951349,0.6006251102335034
PreOrder__Hamming__None,4.347378305458172e-06,0.00623501691790973,1.2071188413620426e-05,0.032289048144192756,0.6661463221588553,1.0,0.7285069115747339,0.9999999960951349
PreOrder__Subset__2,0.007442772515657836,0.46764987264841784,0.014700606216242806,0.785948700844209,0.9999999960951349,0.7285069115747339,1.0,0.6661463221588553
PreOrder__Subset__None,2.5727990643487075e-06,0.004340257284988547,7.278038758440353e-06,0.023776690079980733,0.6006251102335034,0.9999999960951349,0.6661463221588553,1.0
