algorithm,avg_rank
ecc,1.4375
cc,2.6875
br,2.875
clr,5.5
lp,6.75
PreOrder__Hamming__2,7.125
PreOrder__Subset__2,7.1875
mlknn,7.5
PreOrder__Hamming__None,7.75
PreOrder__Subset__None,8.6875
PartialOrder__Hamming__2,10.6875
PartialOrder__Subset__2,11.3125
PartialOrder__Hamming__None,12.4375
PartialOrder__Subset__None,13.0625
