,PartialOrder__Hamming__2,PartialOrder__Hamming__None,PartialOrder__Subset__2,PartialOrder__Subset__None,PreOrder__Hamming__2,PreOrder__Hamming__None,PreOrder__Subset__2,PreOrder__Subset__None
PartialOrder__Hamming__2,1.0,1.0,0.9999999960951349,0.9999919077551657,0.00298916397343274,0.001675104890278556,0.02774866420261224,0.05744817211848097
PartialOrder__Hamming__None,1.0,1.0,0.9999999960951349,0.9999919077551657,0.00298916397343274,0.001675104890278556,0.02774866420261224,0.05744817211848097
PartialOrder__Subset__2,0.9999999960951349,0.9999999960951349,1.0,0.9999421542682614,0.0020370819272206298,0.0011239697816467498,0.020314000464026538,0.043330960700129206
PartialOrder__Subset__None,0.9999919077551657,0.9999919077551657,0.9999421542682614,1.0,0.008860192636935715,0.005209085063094365,0.06584257959247275,0.12416849024311871
PreOrder__Hamming__2,0.00298916397343274,0.00298916397343274,0.0020370819272206298,0.008860192636935715,1.0,0.9999999338418616,0.9985457494455156,0.9889701192635673
PreOrder__Hamming__None,0.001675104890278556,0.001675104890278556,0.0011239697816467498,0.005209085063094365,0.9999999338418616,1.0,0.9946029241564981,0.9730600639338802
PreOrder__Subset__2,0.02774866420261224,0.02774866420261224,0.020314000464026538,0.06584257959247275,0.9985457494455156,0.9946029241564981,1.0,0.9999976994786531
PreOrder__Subset__None,0.05744817211848097,0.05744817211848097,0.043330960700129206,0.12416849024311871,0.9889701192635673,0.9730600639338802,0.9999976994786531,1.0
