algorithm,avg_rank
PreOrder__Subset__None,3.125
PreOrder__Hamming__None,3.4375
PartialOrder__Subset__2,4.5625
PreOrder__Hamming__2,5.0
PreOrder__Subset__2,5.375
PartialOrder__Hamming__2,5.5
PartialOrder__Subset__None,5.75
PartialOrder__Hamming__None,5.875
lp,9.25
mlknn,11.0
br,11.125
cc,11.125
ecc,11.5
clr,12.375
