algorithm,avg_rank
PreOrder__Subset__None,3.375
PreOrder__Hamming__None,3.625
lp,3.75
PartialOrder__Hamming__None,4.9375
PartialOrder__Subset__None,5.3125
PartialOrder__Subset__2,6.375
PartialOrder__Hamming__2,6.375
PreOrder__Hamming__2,7.0
PreOrder__Subset__2,8.0
mlknn,9.0
ecc,10.875
cc,11.0
br,11.375
clr,14.0
