,PartialOrder__Hamming__2,PartialOrder__Hamming__None,PartialOrder__Subset__2,PartialOrder__Subset__None,PreOrder__Hamming__2,PreOrder__Hamming__None,PreOrder__Subset__2,PreOrder__Subset__None,br,cc,clr,ecc,lp,mlknn
PartialOrder__Hamming__2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999944539027681,0.042282471135990485,0.12165239270087158,0.9999905817962828,0.25099429041743515
PartialOrder__Hamming__None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999944539027681,0.042282471135990485,0.12165239270087158,0.9999905817962828,0.25099429041743515
PartialOrder__Subset__2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999944539027681,0.042282471135990485,0.12165239270087158,0.9999905817962828,0.25099429041743515
PartialOrder__Subset__None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999944539027681,0.042282471135990485,0.12165239270087158,0.9999905817962828,0.25099429041743515
PreOrder__Hamming__2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999944539027681,0.042282471135990485,0.12165239270087158,0.9999905817962828,0.25099429041743515
PreOrder__Hamming__None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999944539027681,0.042282471135990485,0.12165239270087158,0.9999905817962828,0.25099429041743515
PreOrder__Subset__2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999944539027681,0.042282471135990485,0.12165239270087158,0.9999905817962828,0.25099429041743515
PreOrder__Subset__None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999944539027681,0.042282471135990485,0.12165239270087158,0.9999905817962828,0.25099429041743515
br,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999905817962828,0.03838582327881179,0.11224263012656566,0.9999844263185558,0.26760109203991544
cc,0.9999944539027681,0.9999944539027681,0.9999944539027681,0.9999944539027681,0.9999944539027681,0.9999944539027681,0.9999944539027681,0.9999944539027681,0.9999905817962828,1.0,0.25099429041743515,0.4871661863379778,1.0,0.042282471135990485
clr,0.042282471135990485,0.042282471135990485,0.042282471135990485,0.042282471135990485,0.042282471135990485,0.042282471135990485,0.042282471135990485,0.042282471135990485,0.03838582327881179,0.25099429041743515,1.0,0.9999999969648584,0.26760109203991544,6.791403373007654e-08
ecc,0.12165239270087158,0.12165239270087158,0.12165239270087158,0.12165239270087158,0.12165239270087158,0.12165239270087158,0.12165239270087158,0.12165239270087158,0.11224263012656566,0.4871661863379778,0.9999999969648584,1.0,0.5094205407151863,6.106244073711409e-07
lp,0.9999905817962828,0.9999905817962828,0.9999905817962828,0.9999905817962828,0.9999905817962828,0.9999905817962828,0.9999905817962828,0.9999905817962828,0.9999844263185558,1.0,0.26760109203991544,0.5094205407151863,1.0,0.03838582327881179
mlknn,0.25099429041743515,0.25099429041743515,0.25099429041743515,0.25099429041743515,0.25099429041743515,0.25099429041743515,0.25099429041743515,0.25099429041743515,0.26760109203991544,0.042282471135990485,6.791403373007654e-08,6.106244073711409e-07,0.03838582327881179,1.0
