algorithm,avg_rank
PartialOrder__Hamming__None,2.0
PartialOrder__Hamming__2,2.5555555555555554
PartialOrder__Subset__None,2.6666666666666665
PartialOrder__Subset__2,3.2222222222222223
PreOrder__Hamming__None,5.888888888888889
PreOrder__Subset__None,6.222222222222222
PreOrder__Hamming__2,6.333333333333333
PreOrder__Subset__2,7.111111111111111
