algorithm,avg_rank
cc,6.6875
PartialOrder__Hamming__2,6.8125
PartialOrder__Subset__2,6.8125
PartialOrder__Hamming__None,6.8125
PreOrder__Hamming__2,6.8125
PreOrder__Hamming__None,6.8125
PreOrder__Subset__2,6.8125
PartialOrder__Subset__None,6.8125
PreOrder__Subset__None,6.8125
br,6.8125
clr,6.9375
ecc,7.3125
lp,8.75
mlknn,14.0
