ptype,metric,noise,friedman_chi2,friedman_p,n_datasets,n_algorithms
BinaryVector,afrd,0.0,63.39020363236103,1.2906626083869292e-08,8,14
BinaryVector,afrd,0.1,61.03462489694968,3.428546138435501e-08,8,14
BinaryVector,afrd,0.2,65.03577325261416,6.494998677509709e-09,8,14
BinaryVector,afrd,0.3,69.28445667125169,1.0868395597315067e-09,8,14
BinaryVector,example_precision,0.0,27.30608312689238,0.011293321803894344,8,14
BinaryVector,example_precision,0.1,38.770292655991156,0.00021753851192064566,8,14
BinaryVector,example_precision,0.2,47.74088397790052,7.239952917851693e-06,8,14
BinaryVector,example_precision,0.3,57.34114081014054,1.5620146055450693e-07,8,14
BinaryVector,example_recall,0.0,87.09928295642578,4.999244776485585e-13,8,14
BinaryVector,example_recall,0.1,92.63796423658867,4.3643083653290575e-14,8,14
BinaryVector,example_recall,0.2,92.78297989534559,4.093314620035339e-14,8,14
BinaryVector,example_recall,0.3,93.14277839029769,3.491214839878254e-14,8,14
BinaryVector,f1,0.0,65.78722818607211,4.7414725515784485e-09,8,14
BinaryVector,f1,0.1,65.8160792951542,4.684468520951507e-09,8,14
BinaryVector,f1,0.2,58.37627586206898,1.0232556856824266e-07,8,14
BinaryVector,f1,0.3,59.75130817956483,5.8196867759325606e-08,8,14
BinaryVector,hamming_accuracy,0.0,70.54724300360209,6.364116506985499e-10,8,14
BinaryVector,hamming_accuracy,0.1,76.82534435261707,4.345409200690769e-11,8,14
BinaryVector,hamming_accuracy,0.2,86.66547455295736,6.046098035409562e-13,8,14
BinaryVector,hamming_accuracy,0.3,89.4617501375894,1.771175287540048e-13,8,14
BinaryVector,jaccard,0.0,59.8901734104046,5.49645602519759e-08,8,14
BinaryVector,jaccard,0.1,53.9748201438849,6.10973118624371e-07,8,14
BinaryVector,jaccard,0.2,44.01022947193805,3.056954660981367e-05,8,14
BinaryVector,jaccard,0.3,44.495584988962484,2.5393259477544857e-05,8,14
BinaryVector,macro_f1,0.0,49.94793388429749,3.0434181878672533e-06,8,14
BinaryVector,macro_f1,0.1,46.696802646086,1.0869574973464938e-05,8,14
BinaryVector,macro_f1,0.2,47.94176097157053,6.693656245509217e-06,8,14
BinaryVector,macro_f1,0.3,42.60792951541846,5.207248630679772e-05,8,14
BinaryVector,macro_precision,0.0,51.45070422535208,1.6774826999330922e-06,8,14
BinaryVector,macro_precision,0.1,55.20779220779217,3.7153602195977517e-07,8,14
BinaryVector,macro_precision,0.2,65.8772123893805,4.565921337731022e-09,8,14
BinaryVector,macro_precision,0.3,75.91899364113904,6.416621376065057e-11,8,14
BinaryVector,macro_recall,0.0,84.85962014863748,1.3322450554282828e-12,8,14
BinaryVector,macro_recall,0.1,91.25027502750272,8.054556972704736e-14,8,14
BinaryVector,macro_recall,0.2,91.87692731277534,6.108415756832149e-14,8,14
BinaryVector,macro_recall,0.3,91.32535753575354,7.792124805403825e-14,8,14
BinaryVector,mfrd,0.0,71.4617871840094,4.31479179497437e-10,8,14
BinaryVector,mfrd,0.1,76.03513664249859,6.104253208760509e-11,8,14
BinaryVector,mfrd,0.2,77.65761020238425,3.036098658126338e-11,8,14
BinaryVector,mfrd,0.3,64.78524229074887,7.212357104506695e-09,8,14
BinaryVector,micro_f1,0.0,36.0760749724366,0.0005774251083722595,8,14
BinaryVector,micro_f1,0.1,40.232974910394276,0.0001267905832878849,8,14
BinaryVector,micro_f1,0.2,35.525213557453846,0.0007027829238086581,8,14
