algorithm,avg_rank
PreOrder__Subset__2,3.6875
PreOrder__Hamming__2,4.1875
lp,5.375
PreOrder__Hamming__None,5.8125
ecc,6.0
mlknn,6.125
br,6.125
PreOrder__Subset__None,6.4375
cc,6.5
PartialOrder__Hamming__2,9.6875
PartialOrder__Subset__2,10.3125
PartialOrder__Hamming__None,11.3125
PartialOrder__Subset__None,11.6875
clr,11.75
