algorithm,avg_rank
PartialOrder__Hamming__2,1.5555555555555556
PartialOrder__Subset__2,1.7777777777777777
PartialOrder__Hamming__None,3.2777777777777777
PartialOrder__Subset__None,3.388888888888889
PreOrder__Subset__2,5.555555555555555
PreOrder__Hamming__2,5.833333333333333
PreOrder__Hamming__None,7.277777777777778
PreOrder__Subset__None,7.333333333333333
