algorithm,avg_rank
ecc,1.625
clr,2.375
br,6.625
PartialOrder__Hamming__2,7.625
PreOrder__Hamming__2,7.625
PartialOrder__Hamming__None,7.625
PartialOrder__Subset__2,7.625
PartialOrder__Subset__None,7.625
PreOrder__Subset__None,7.625
PreOrder__Subset__2,7.625
PreOrder__Hamming__None,7.625
cc,8.875
lp,10.5
mlknn,14.0
