algorithm,avg_rank
clr,2.75
ecc,3.625
cc,6.75
PartialOrder__Hamming__2,7.625
PreOrder__Hamming__2,7.625
PartialOrder__Hamming__None,7.625
PartialOrder__Subset__2,7.625
PartialOrder__Subset__None,7.625
PreOrder__Subset__None,7.625
PreOrder__Subset__2,7.625
PreOrder__Hamming__None,7.625
lp,7.625
br,9.25
mlknn,14.0
