,PartialOrder__Hamming__2,PartialOrder__Hamming__None,PartialOrder__Subset__2,PartialOrder__Subset__None,PreOrder__Hamming__2,PreOrder__Hamming__None,PreOrder__Subset__2,PreOrder__Subset__None
PartialOrder__Hamming__2,1.0,0.7579426666595214,0.9999919077551657,0.7579426666595214,0.15642518383877346,0.0004908557391839485,0.043330960700129206,0.00020598929972381885
PartialOrder__Hamming__None,0.7579426666595214,1.0,0.5672704055757916,1.0,0.9730600639338802,0.12416849024311871,0.812353342187893,0.07522808279555193
PartialOrder__Subset__2,0.9999919077551657,0.5672704055757916,1.0,0.5672704055757916,0.07522808279555193,0.00013149427791714352,0.017305581809114567,5.205323289547703e-05
PartialOrder__Subset__None,0.7579426666595214,1.0,0.5672704055757916,1.0,0.9730600639338802,0.12416849024311871,0.812353342187893,0.07522808279555193
PreOrder__Hamming__2,0.15642518383877346,0.9730600639338802,0.07522808279555193,0.9730600639338802,1.0,0.6978367345597007,0.9997402346156786,0.5672704055757916
PreOrder__Hamming__None,0.0004908557391839485,0.12416849024311871,0.00013149427791714352,0.12416849024311871,0.6978367345597007,1.0,0.9313870580640957,0.9999995101840434
PreOrder__Subset__2,0.043330960700129206,0.812353342187893,0.017305581809114567,0.812353342187893,0.9997402346156786,0.9313870580640957,1.0,0.8598141215994575
PreOrder__Subset__None,0.00020598929972381885,0.07522808279555193,5.205323289547703e-05,0.07522808279555193,0.5672704055757916,0.9999995101840434,0.8598141215994575,1.0
