Base_Learner,Algorithm,Metric,Mean,Std
RF,CLR,hamming_accuracy,0.7674794663628163,0.012568895316926803
RF,CLR,subset0_1,0.15756160091155105,0.036062795137014665
RF,CLR,f1,0.35270977543559795,0.03755520924374682
XGBoost,CLR,hamming_accuracy,0.7850092579404644,0.012766451040893644
XGBoost,CLR,subset0_1,0.214248682523857,0.0365645264712775
XGBoost,CLR,f1,0.4783619617338459,0.03136716425266065
ETC,CLR,hamming_accuracy,0.7593324787542136,0.013491915694954837
ETC,CLR,subset0_1,0.13391539666714145,0.040760244250175756
ETC,CLR,f1,0.3105615534349333,0.044599607119962165
LightGBM,CLR,hamming_accuracy,0.78461900014243,0.013003839331289206
LightGBM,CLR,subset0_1,0.202073778664008,0.03251149219408309
LightGBM,CLR,f1,0.4666409343398374,0.03890842989603584
