Base_Learner,Algorithm,Metric,Mean,Std
RF,CLR,hamming_accuracy,0.760561173621991,0.005921470595489759
RF,CLR,subset0_1,0.13325737074490812,0.016660116804861784
RF,CLR,f1,0.3153809998575702,0.01909238649657975
XGBoost,CLR,hamming_accuracy,0.7928856288278021,0.012922478654853919
XGBoost,CLR,subset0_1,0.22273180458624126,0.05601340055694878
XGBoost,CLR,f1,0.4927721597113418,0.03758066175748187
ETC,CLR,hamming_accuracy,0.753268765133172,0.011517754571800862
ETC,CLR,subset0_1,0.1113374163224612,0.020470376073926155
ETC,CLR,f1,0.2822408963585435,0.02983760237508453
LightGBM,CLR,hamming_accuracy,0.7945473104496037,0.010473933706006234
LightGBM,CLR,subset0_1,0.21595214356929213,0.032901900353978934
LightGBM,CLR,f1,0.48000189906471036,0.02553087248423662
