Algorithm,auc_macro__0.0,auc_macro__0.1,auc_macro__0.2,auc_macro__0.3,auc_micro__0.0,auc_micro__0.1,auc_micro__0.2,auc_micro__0.3,auprc_macro__0.0,auprc_macro__0.1,auprc_macro__0.2,auprc_macro__0.3,auprc_micro__0.0,auprc_micro__0.1,auprc_micro__0.2,auprc_micro__0.3,coverage__0.0,coverage__0.1,coverage__0.2,coverage__0.3,lr_ap__0.0,lr_ap__0.1,lr_ap__0.2,lr_ap__0.3,one_error__0.0,one_error__0.1,one_error__0.2,one_error__0.3,ranking_loss__0.0,ranking_loss__0.1,ranking_loss__0.2,ranking_loss__0.3
PartialOrder__Hamming__2,0.7435±0.0012,0.7028±0.0027,0.6772±0.0044,0.6463±0.0059,0.8120±0.0030,0.7769±0.0040,0.7472±0.0034,0.7067±0.0043,0.2855±0.0054,0.2479±0.0053,0.2200±0.0042,0.1866±0.0053,0.3538±0.0092,0.3177±0.0092,0.2793±0.0067,0.2299±0.0064,0.6251±0.0046,0.7098±0.0182,0.8638±0.0179,1.0826±0.0241,0.8384±0.0012,0.8277±0.0022,0.8068±0.0023,0.7734±0.0027,0.6745±0.0060,0.6855±0.0048,0.7082±0.0048,0.7486±0.0056,0.0972±0.0006,0.1081±0.0019,0.1285±0.0022,0.1591±0.0022
PartialOrder__Hamming__None,0.7435±0.0012,0.7028±0.0027,0.6772±0.0044,0.6463±0.0059,0.8120±0.0030,0.7769±0.0040,0.7472±0.0034,0.7067±0.0043,0.2855±0.0054,0.2479±0.0053,0.2200±0.0042,0.1866±0.0053,0.3538±0.0092,0.3177±0.0092,0.2793±0.0067,0.2299±0.0064,0.6251±0.0046,0.7098±0.0182,0.8638±0.0179,1.0826±0.0241,0.8384±0.0012,0.8277±0.0022,0.8068±0.0023,0.7734±0.0027,0.6745±0.0060,0.6855±0.0048,0.7082±0.0048,0.7486±0.0056,0.0972±0.0006,0.1081±0.0019,0.1285±0.0022,0.1591±0.0022
PartialOrder__Subset__2,0.7435±0.0012,0.7028±0.0027,0.6772±0.0044,0.6463±0.0059,0.8120±0.0030,0.7769±0.0040,0.7472±0.0034,0.7067±0.0043,0.2855±0.0054,0.2479±0.0053,0.2200±0.0042,0.1866±0.0053,0.3538±0.0092,0.3177±0.0092,0.2793±0.0067,0.2299±0.0064,0.6251±0.0046,0.7098±0.0182,0.8638±0.0179,1.0826±0.0241,0.8384±0.0012,0.8277±0.0022,0.8068±0.0023,0.7734±0.0027,0.6745±0.0060,0.6855±0.0048,0.7082±0.0048,0.7486±0.0056,0.0972±0.0006,0.1081±0.0019,0.1285±0.0022,0.1591±0.0022
PartialOrder__Subset__None,0.7435±0.0012,0.7028±0.0027,0.6772±0.0044,0.6463±0.0059,0.8120±0.0030,0.7769±0.0040,0.7472±0.0034,0.7067±0.0043,0.2855±0.0054,0.2479±0.0053,0.2200±0.0042,0.1866±0.0053,0.3538±0.0092,0.3177±0.0092,0.2793±0.0067,0.2299±0.0064,0.6251±0.0046,0.7098±0.0182,0.8638±0.0179,1.0826±0.0241,0.8384±0.0012,0.8277±0.0022,0.8068±0.0023,0.7734±0.0027,0.6745±0.0060,0.6855±0.0048,0.7082±0.0048,0.7486±0.0056,0.0972±0.0006,0.1081±0.0019,0.1285±0.0022,0.1591±0.0022
PreOrder__Hamming__2,0.7435±0.0012,0.7028±0.0027,0.6772±0.0044,0.6463±0.0059,0.8120±0.0030,0.7769±0.0040,0.7472±0.0034,0.7067±0.0043,0.2855±0.0054,0.2479±0.0053,0.2200±0.0042,0.1866±0.0053,0.3538±0.0092,0.3177±0.0092,0.2793±0.0067,0.2299±0.0064,0.6251±0.0046,0.7098±0.0182,0.8638±0.0179,1.0826±0.0241,0.8384±0.0012,0.8277±0.0022,0.8068±0.0023,0.7734±0.0027,0.6745±0.0060,0.6855±0.0048,0.7082±0.0048,0.7486±0.0056,0.0972±0.0006,0.1081±0.0019,0.1285±0.0022,0.1591±0.0022
PreOrder__Hamming__None,0.7435±0.0012,0.7028±0.0027,0.6772±0.0044,0.6463±0.0059,0.8120±0.0030,0.7769±0.0040,0.7472±0.0034,0.7067±0.0043,0.2855±0.0054,0.2479±0.0053,0.2200±0.0042,0.1866±0.0053,0.3538±0.0092,0.3177±0.0092,0.2793±0.0067,0.2299±0.0064,0.6251±0.0046,0.7098±0.0182,0.8638±0.0179,1.0826±0.0241,0.8384±0.0012,0.8277±0.0022,0.8068±0.0023,0.7734±0.0027,0.6745±0.0060,0.6855±0.0048,0.7082±0.0048,0.7486±0.0056,0.0972±0.0006,0.1081±0.0019,0.1285±0.0022,0.1591±0.0022
PreOrder__Subset__2,0.7435±0.0012,0.7028±0.0027,0.6772±0.0044,0.6463±0.0059,0.8120±0.0030,0.7769±0.0040,0.7472±0.0034,0.7067±0.0043,0.2855±0.0054,0.2479±0.0053,0.2200±0.0042,0.1866±0.0053,0.3538±0.0092,0.3177±0.0092,0.2793±0.0067,0.2299±0.0064,0.6251±0.0046,0.7098±0.0182,0.8638±0.0179,1.0826±0.0241,0.8384±0.0012,0.8277±0.0022,0.8068±0.0023,0.7734±0.0027,0.6745±0.0060,0.6855±0.0048,0.7082±0.0048,0.7486±0.0056,0.0972±0.0006,0.1081±0.0019,0.1285±0.0022,0.1591±0.0022
PreOrder__Subset__None,0.7435±0.0012,0.7028±0.0027,0.6772±0.0044,0.6463±0.0059,0.8120±0.0030,0.7769±0.0040,0.7472±0.0034,0.7067±0.0043,0.2855±0.0054,0.2479±0.0053,0.2200±0.0042,0.1866±0.0053,0.3538±0.0092,0.3177±0.0092,0.2793±0.0067,0.2299±0.0064,0.6251±0.0046,0.7098±0.0182,0.8638±0.0179,1.0826±0.0241,0.8384±0.0012,0.8277±0.0022,0.8068±0.0023,0.7734±0.0027,0.6745±0.0060,0.6855±0.0048,0.7082±0.0048,0.7486±0.0056,0.0972±0.0006,0.1081±0.0019,0.1285±0.0022,0.1591±0.0022
br,0.7435±0.0012,0.7023±0.0040,0.6780±0.0040,0.6440±0.0057,0.8120±0.0030,0.7768±0.0040,0.7477±0.0042,0.7059±0.0059,0.2855±0.0054,0.2480±0.0053,0.2197±0.0057,0.1854±0.0048,0.3538±0.0092,0.3181±0.0089,0.2801±0.0083,0.2283±0.0071,0.6251±0.0046,0.7112±0.0120,0.8603±0.0220,1.0808±0.0278,0.8384±0.0012,0.8271±0.0022,0.8074±0.0028,0.7738±0.0036,0.6745±0.0060,0.6866±0.0046,0.7070±0.0055,0.7481±0.0063,0.0972±0.0006,0.1084±0.0015,0.1279±0.0024,0.1587±0.0031
cc,0.7421±0.0039,0.7027±0.0028,0.6776±0.0042,0.6472±0.0057,0.8115±0.0038,0.7768±0.0040,0.7478±0.0037,0.7079±0.0055,0.2834±0.0060,0.2478±0.0056,0.2191±0.0041,0.1877±0.0051,0.3530±0.0090,0.3168±0.0094,0.2789±0.0068,0.2313±0.0074,0.6219±0.0117,0.7125±0.0138,0.8596±0.0192,1.0809±0.0298,0.8389±0.0017,0.8273±0.0026,0.8071±0.0022,0.7740±0.0041,0.6754±0.0059,0.6854±0.0050,0.7079±0.0054,0.7474±0.0065,0.0969±0.0013,0.1085±0.0017,0.1279±0.0019,0.1586±0.0036
