Algorithm,aabs__0.0,aabs__0.1,aabs__0.2,aabs__0.3,abs__0.0,abs__0.1,abs__0.2,abs__0.3,arec__0.0,arec__0.1,arec__0.2,arec__0.3,f1_pa__0.0,f1_pa__0.1,f1_pa__0.2,f1_pa__0.3,hamming_accuracy_pa__0.0,hamming_accuracy_pa__0.1,hamming_accuracy_pa__0.2,hamming_accuracy_pa__0.3,rec__0.0,rec__0.1,rec__0.2,rec__0.3,subset0_1_pa__0.0,subset0_1_pa__0.1,subset0_1_pa__0.2,subset0_1_pa__0.3
PartialOrder__Hamming__2,0.9223±0.0032,0.9204±0.0042,0.9182±0.0048,0.9006±0.0043,0.9925±0.0014,0.9949±0.0012,0.9962±0.0013,0.9955±0.0013,0.9866±0.0010,0.9839±0.0012,0.9787±0.0015,0.9651±0.0019,0.5172±0.0133,0.4952±0.0163,0.4360±0.0141,0.3214±0.0147,0.8280±0.0056,0.7973±0.0065,0.7393±0.0078,0.6487±0.0077,0.9061±0.0055,0.8901±0.0068,0.8635±0.0077,0.7989±0.0094,0.4510±0.0171,0.4275±0.0188,0.3577±0.0173,0.2340±0.0167
PartialOrder__Hamming__None,0.9188±0.0033,0.9163±0.0042,0.9128±0.0051,0.8920±0.0045,0.9920±0.0013,0.9945±0.0013,0.9958±0.0014,0.9948±0.0013,0.9859±0.0010,0.9828±0.0012,0.9768±0.0016,0.9613±0.0021,0.5144±0.0134,0.4924±0.0158,0.4314±0.0128,0.3171±0.0133,0.8267±0.0054,0.7949±0.0068,0.7343±0.0079,0.6421±0.0071,0.9017±0.0055,0.8843±0.0070,0.8543±0.0078,0.7822±0.0093,0.4464±0.0157,0.4225±0.0192,0.3493±0.0162,0.2262±0.0143
PartialOrder__Subset__2,0.9223±0.0032,0.9204±0.0042,0.9182±0.0048,0.9007±0.0043,0.9925±0.0014,0.9949±0.0012,0.9962±0.0013,0.9955±0.0013,0.9866±0.0010,0.9839±0.0012,0.9787±0.0015,0.9651±0.0019,0.5173±0.0134,0.4952±0.0163,0.4359±0.0141,0.3211±0.0146,0.8281±0.0058,0.7973±0.0065,0.7392±0.0078,0.6484±0.0076,0.9061±0.0056,0.8902±0.0068,0.8635±0.0077,0.7988±0.0094,0.4513±0.0174,0.4275±0.0187,0.3577±0.0172,0.2338±0.0165
PartialOrder__Subset__None,0.9190±0.0033,0.9167±0.0042,0.9134±0.0048,0.8936±0.0043,0.9921±0.0015,0.9945±0.0013,0.9958±0.0015,0.9949±0.0013,0.9860±0.0010,0.9830±0.0012,0.9771±0.0015,0.9620±0.0020,0.5150±0.0126,0.4942±0.0159,0.4338±0.0140,0.3192±0.0134,0.8268±0.0052,0.7958±0.0070,0.7353±0.0086,0.6434±0.0072,0.9021±0.0051,0.8853±0.0069,0.8557±0.0076,0.7859±0.0087,0.4466±0.0139,0.4237±0.0193,0.3526±0.0178,0.2278±0.0154
PreOrder__Hamming__2,0.9037±0.0033,0.8705±0.0057,0.8062±0.0069,0.6312±0.0100,0.9823±0.0017,0.9824±0.0028,0.9801±0.0033,0.9620±0.0048,0.9825±0.0008,0.9735±0.0014,0.9521±0.0015,0.8806±0.0031,0.4950±0.0141,0.4670±0.0136,0.4067±0.0102,0.3022±0.0054,0.8180±0.0035,0.7950±0.0043,0.7526±0.0060,0.6761±0.0039,0.8835±0.0035,0.8279±0.0077,0.7086±0.0068,0.3986±0.0122,0.4035±0.0111,0.3723±0.0140,0.2965±0.0092,0.1592±0.0059
PreOrder__Hamming__None,0.8992±0.0037,0.8638±0.0058,0.7946±0.0070,0.6091±0.0100,0.9815±0.0020,0.9813±0.0028,0.9783±0.0033,0.9573±0.0054,0.9815±0.0008,0.9717±0.0014,0.9480±0.0016,0.8677±0.0036,0.4938±0.0133,0.4641±0.0136,0.4035±0.0096,0.2985±0.0052,0.8167±0.0031,0.7924±0.0052,0.7466±0.0058,0.6616±0.0044,0.8778±0.0031,0.8185±0.0078,0.6906±0.0068,0.3673±0.0117,0.3991±0.0093,0.3639±0.0158,0.2842±0.0084,0.1434±0.0053
PreOrder__Subset__2,0.9038±0.0032,0.8706±0.0057,0.8065±0.0068,0.6321±0.0100,0.9823±0.0016,0.9824±0.0028,0.9804±0.0033,0.9627±0.0047,0.9825±0.0008,0.9735±0.0014,0.9522±0.0015,0.8810±0.0031,0.4943±0.0137,0.4666±0.0135,0.4063±0.0101,0.3014±0.0052,0.8177±0.0030,0.7952±0.0043,0.7529±0.0061,0.6764±0.0041,0.8835±0.0034,0.8281±0.0076,0.7087±0.0068,0.3990±0.0124,0.4037±0.0102,0.3729±0.0139,0.2968±0.0092,0.1596±0.0062
PreOrder__Subset__None,0.8997±0.0034,0.8641±0.0057,0.7953±0.0068,0.6104±0.0102,0.9809±0.0016,0.9812±0.0030,0.9782±0.0033,0.9576±0.0054,0.9816±0.0008,0.9717±0.0014,0.9481±0.0015,0.8672±0.0036,0.4931±0.0151,0.4640±0.0126,0.4032±0.0093,0.2971±0.0048,0.8166±0.0033,0.7917±0.0048,0.7461±0.0058,0.6591±0.0041,0.8784±0.0037,0.8184±0.0072,0.6912±0.0064,0.3667±0.0123,0.3977±0.0109,0.3631±0.0139,0.2838±0.0078,0.1419±0.0060
