Algorithm,afrd__0.0,afrd__0.1,afrd__0.2,afrd__0.3,example_precision__0.0,example_precision__0.1,example_precision__0.2,example_precision__0.3,example_recall__0.0,example_recall__0.1,example_recall__0.2,example_recall__0.3,f1__0.0,f1__0.1,f1__0.2,f1__0.3,hamming_accuracy__0.0,hamming_accuracy__0.1,hamming_accuracy__0.2,hamming_accuracy__0.3,jaccard__0.0,jaccard__0.1,jaccard__0.2,jaccard__0.3,macro_f1__0.0,macro_f1__0.1,macro_f1__0.2,macro_f1__0.3,macro_precision__0.0,macro_precision__0.1,macro_precision__0.2,macro_precision__0.3,macro_recall__0.0,macro_recall__0.1,macro_recall__0.2,macro_recall__0.3,mfrd__0.0,mfrd__0.1,mfrd__0.2,mfrd__0.3,micro_f1__0.0,micro_f1__0.1,micro_f1__0.2,micro_f1__0.3,micro_precision__0.0,micro_precision__0.1,micro_precision__0.2,micro_precision__0.3,micro_recall__0.0,micro_recall__0.1,micro_recall__0.2,micro_recall__0.3,subset0_1__0.0,subset0_1__0.1,subset0_1__0.2,subset0_1__0.3
PartialOrder__Hamming__2,0.9029±0.0046,0.9072±0.0072,0.9124±0.0078,0.8999±0.0061,0.1190±0.0019,0.1157±0.0017,0.1126±0.0017,0.1103±0.0016,0.5357±0.0045,0.5358±0.0037,0.5353±0.0039,0.5308±0.0044,0.1838±0.0027,0.1815±0.0024,0.1787±0.0023,0.1762±0.0024,0.1546±0.0019,0.1526±0.0029,0.1494±0.0030,0.1529±0.0025,0.1169±0.0020,0.1144±0.0017,0.1116±0.0016,0.1095±0.0017,0.1856±0.0023,0.1856±0.0020,0.1852±0.0021,0.1848±0.0022,0.1069±0.0016,0.1068±0.0015,0.1066±0.0015,0.1065±0.0016,0.9595±0.0026,0.9616±0.0053,0.9634±0.0057,0.9559±0.0052,0.9686±0.0032,0.9686±0.0041,0.9666±0.0045,0.9516±0.0062,0.1952±0.0027,0.1950±0.0025,0.1943±0.0026,0.1937±0.0027,0.1085±0.0016,0.1083±0.0015,0.1079±0.0016,0.1076±0.0017,0.9756±0.0023,0.9763±0.0029,0.9757±0.0030,0.9683±0.0028,0.0041±0.0007,0.0020±0.0006,0.0007±0.0005,0.0001±0.0001
PartialOrder__Hamming__None,0.8981±0.0062,0.9024±0.0073,0.9062±0.0084,0.8918±0.0057,0.1194±0.0018,0.1162±0.0018,0.1129±0.0017,0.1107±0.0016,0.5353±0.0046,0.5354±0.0037,0.5346±0.0041,0.5297±0.0044,0.1843±0.0026,0.1819±0.0024,0.1791±0.0024,0.1766±0.0023,0.1567±0.0020,0.1549±0.0028,0.1521±0.0032,0.1565±0.0026,0.1174±0.0019,0.1148±0.0017,0.1120±0.0017,0.1099±0.0016,0.1857±0.0023,0.1856±0.0020,0.1852±0.0021,0.1848±0.0022,0.1070±0.0016,0.1069±0.0015,0.1067±0.0015,0.1066±0.0016,0.9570±0.0040,0.9594±0.0056,0.9603±0.0063,0.9520±0.0047,0.9677±0.0034,0.9670±0.0045,0.9645±0.0049,0.9484±0.0064,0.1955±0.0027,0.1952±0.0025,0.1945±0.0026,0.1940±0.0027,0.1086±0.0017,0.1085±0.0015,0.1081±0.0016,0.1079±0.0016,0.9748±0.0026,0.9753±0.0028,0.9743±0.0031,0.9661±0.0026,0.0043±0.0003,0.0020±0.0006,0.0007±0.0004,0.0001±0.0001
PartialOrder__Subset__2,0.9029±0.0046,0.9071±0.0071,0.9123±0.0078,0.8998±0.0060,0.1190±0.0019,0.1157±0.0017,0.1126±0.0016,0.1103±0.0016,0.5357±0.0045,0.5358±0.0037,0.5353±0.0039,0.5308±0.0044,0.1838±0.0027,0.1815±0.0024,0.1787±0.0023,0.1762±0.0023,0.1546±0.0019,0.1526±0.0029,0.1493±0.0030,0.1529±0.0025,0.1170±0.0020,0.1144±0.0017,0.1116±0.0016,0.1095±0.0016,0.1856±0.0023,0.1855±0.0020,0.1851±0.0021,0.1848±0.0022,0.1069±0.0016,0.1068±0.0015,0.1066±0.0015,0.1065±0.0016,0.9595±0.0026,0.9615±0.0053,0.9633±0.0058,0.9558±0.0051,0.9686±0.0032,0.9686±0.0041,0.9665±0.0045,0.9519±0.0062,0.1952±0.0027,0.1950±0.0025,0.1942±0.0025,0.1937±0.0027,0.1085±0.0016,0.1083±0.0015,0.1079±0.0016,0.1076±0.0017,0.9756±0.0023,0.9763±0.0029,0.9756±0.0030,0.9682±0.0027,0.0041±0.0007,0.0020±0.0006,0.0007±0.0005,0.0001±0.0001
PartialOrder__Subset__None,0.8995±0.0049,0.9036±0.0070,0.9079±0.0079,0.8942±0.0060,0.1195±0.0019,0.1162±0.0018,0.1129±0.0017,0.1107±0.0016,0.5354±0.0044,0.5354±0.0039,0.5346±0.0039,0.5299±0.0044,0.1844±0.0027,0.1820±0.0024,0.1791±0.0023,0.1766±0.0023,0.1566±0.0021,0.1548±0.0028,0.1517±0.0030,0.1558±0.0024,0.1175±0.0020,0.1148±0.0018,0.1120±0.0017,0.1098±0.0016,0.1858±0.0022,0.1857±0.0021,0.1853±0.0021,0.1849±0.0022,0.1070±0.0016,0.1070±0.0015,0.1067±0.0015,0.1066±0.0016,0.9584±0.0027,0.9605±0.0051,0.9617±0.0060,0.9538±0.0052,0.9682±0.0033,0.9682±0.0044,0.9661±0.0046,0.9505±0.0056,0.1955±0.0027,0.1952±0.0025,0.1945±0.0026,0.1939±0.0027,0.1086±0.0016,0.1085±0.0016,0.1080±0.0016,0.1078±0.0016,0.9750±0.0022,0.9753±0.0028,0.9744±0.0030,0.9663±0.0027,0.0043±0.0006,0.0021±0.0006,0.0006±0.0004,0.0001±0.0001
PreOrder__Hamming__2,0.8639±0.0060,0.8235±0.0103,0.7474±0.0110,0.5601±0.0168,0.1225±0.0021,0.1238±0.0023,0.1259±0.0025,0.1304±0.0023,0.5248±0.0025,0.5172±0.0044,0.5018±0.0041,0.4612±0.0056,0.1839±0.0025,0.1855±0.0026,0.1873±0.0027,0.1899±0.0027,0.1648±0.0027,0.1824±0.0040,0.2145±0.0053,0.2964±0.0064,0.1179±0.0020,0.1191±0.0020,0.1208±0.0023,0.1239±0.0020,0.1838±0.0018,0.1839±0.0023,0.1836±0.0022,0.1838±0.0025,0.1062±0.0014,0.1064±0.0016,0.1067±0.0016,0.1083±0.0018,0.9351±0.0040,0.9158±0.0068,0.8785±0.0071,0.7905±0.0114,0.9330±0.0032,0.9132±0.0080,0.8727±0.0108,0.7559±0.0158,0.1931±0.0023,0.1939±0.0027,0.1949±0.0027,0.1984±0.0031,0.1075±0.0014,0.1081±0.0017,0.1092±0.0017,0.1127±0.0020,0.9510±0.0030,0.9353±0.0045,0.9047±0.0051,0.8284±0.0069,0.0066±0.0008,0.0059±0.0010,0.0050±0.0014,0.0037±0.0008
PreOrder__Hamming__None,0.8588±0.0064,0.8169±0.0100,0.7382±0.0117,0.5545±0.0167,0.1230±0.0020,0.1243±0.0024,0.1263±0.0026,0.1307±0.0023,0.5244±0.0026,0.5168±0.0042,0.5015±0.0045,0.4636±0.0055,0.1847±0.0024,0.1864±0.0027,0.1884±0.0029,0.1915±0.0028,0.1676±0.0030,0.1864±0.0041,0.2202±0.0053,0.3030±0.0061,0.1185±0.0019,0.1198±0.0021,0.1216±0.0024,0.1249±0.0021,0.1841±0.0017,0.1843±0.0023,0.1843±0.0024,0.1855±0.0025,0.1063±0.0013,0.1067±0.0016,0.1072±0.0017,0.1093±0.0019,0.9331±0.0045,0.9136±0.0066,0.8756±0.0080,0.7912±0.0114,0.9312±0.0033,0.9103±0.0091,0.8708±0.0109,0.7626±0.0154,0.1935±0.0022,0.1945±0.0027,0.1960±0.0029,0.2009±0.0031,0.1077±0.0014,0.1085±0.0017,0.1099±0.0018,0.1142±0.0020,0.9502±0.0031,0.9347±0.0043,0.9043±0.0057,0.8338±0.0065,0.0068±0.0009,0.0056±0.0011,0.0044±0.0011,0.0028±0.0007
PreOrder__Subset__2,0.8634±0.0061,0.8230±0.0102,0.7464±0.0110,0.5586±0.0164,0.1225±0.0022,0.1238±0.0023,0.1258±0.0025,0.1301±0.0023,0.5245±0.0025,0.5169±0.0045,0.5013±0.0041,0.4600±0.0055,0.1838±0.0025,0.1854±0.0027,0.1870±0.0027,0.1893±0.0027,0.1647±0.0027,0.1824±0.0040,0.2144±0.0053,0.2959±0.0065,0.1177±0.0020,0.1190±0.0021,0.1205±0.0023,0.1234±0.0020,0.1837±0.0018,0.1838±0.0023,0.1834±0.0022,0.1834±0.0025,0.1061±0.0014,0.1064±0.0016,0.1066±0.0016,0.1081±0.0019,0.9346±0.0042,0.9154±0.0067,0.8775±0.0071,0.7889±0.0111,0.9317±0.0031,0.9124±0.0082,0.8705±0.0110,0.7512±0.0162,0.1930±0.0022,0.1938±0.0027,0.1947±0.0027,0.1978±0.0031,0.1074±0.0014,0.1081±0.0017,0.1091±0.0017,0.1124±0.0020,0.9503±0.0029,0.9348±0.0045,0.9035±0.0051,0.8258±0.0068,0.0066±0.0008,0.0060±0.0011,0.0049±0.0013,0.0037±0.0008
PreOrder__Subset__None,0.8593±0.0064,0.8179±0.0100,0.7395±0.0107,0.5569±0.0166,0.1231±0.0022,0.1243±0.0024,0.1263±0.0024,0.1300±0.0022,0.5245±0.0030,0.5163±0.0042,0.5012±0.0042,0.4629±0.0051,0.1847±0.0026,0.1862±0.0027,0.1883±0.0028,0.1908±0.0026,0.1673±0.0027,0.1859±0.0040,0.2196±0.0052,0.3013±0.0060,0.1185±0.0021,0.1197±0.0021,0.1215±0.0022,0.1243±0.0019,0.1841±0.0019,0.1842±0.0022,0.1842±0.0023,0.1851±0.0023,0.1063±0.0014,0.1066±0.0016,0.1071±0.0016,0.1091±0.0017,0.9333±0.0043,0.9143±0.0068,0.8763±0.0071,0.7920±0.0115,0.9323±0.0030,0.9115±0.0091,0.8725±0.0106,0.7623±0.0175,0.1934±0.0023,0.1942±0.0027,0.1957±0.0028,0.2002±0.0028,0.1077±0.0015,0.1084±0.0017,0.1098±0.0017,0.1138±0.0018,0.9502±0.0026,0.9336±0.0046,0.9036±0.0049,0.8323±0.0065,0.0068±0.0009,0.0058±0.0011,0.0044±0.0010,0.0027±0.0007
br,0.9475±0.0055,0.9369±0.0040,0.9175±0.0050,0.8682±0.0081,0.4811±0.0027,0.4815±0.0042,0.4804±0.0038,0.4577±0.0060,0.4678±0.0023,0.4667±0.0042,0.4632±0.0040,0.4396±0.0058,0.4715±0.0025,0.4707±0.0042,0.4675±0.0039,0.4425±0.0058,0.8967±0.0015,0.8958±0.0014,0.8935±0.0015,0.8825±0.0018,0.4671±0.0026,0.4654±0.0042,0.4606±0.0040,0.4319±0.0057,0.0835±0.0083,0.0953±0.0057,0.1142±0.0064,0.1457±0.0092,0.5171±0.0440,0.4544±0.0268,0.3862±0.0275,0.2724±0.0147,0.0467±0.0048,0.0547±0.0035,0.0689±0.0043,0.1007±0.0072,1.0000±0.0001,0.9995±0.0005,0.9944±0.0059,0.9773±0.0106,0.1115±0.0061,0.1287±0.0053,0.1544±0.0069,0.1898±0.0100,0.5805±0.0344,0.5311±0.0234,0.4667±0.0232,0.3452±0.0167,0.0617±0.0037,0.0732±0.0034,0.0926±0.0049,0.1310±0.0080,0.4551±0.0029,0.4512±0.0043,0.4419±0.0045,0.4039±0.0057
cc,0.9493±0.0027,0.9372±0.0040,0.9179±0.0058,0.8682±0.0067,0.4800±0.0022,0.4808±0.0040,0.4790±0.0036,0.4598±0.0069,0.4670±0.0026,0.4662±0.0037,0.4620±0.0035,0.4420±0.0058,0.4707±0.0025,0.4702±0.0038,0.4662±0.0035,0.4447±0.0062,0.8965±0.0013,0.8957±0.0014,0.8932±0.0015,0.8831±0.0017,0.4665±0.0025,0.4650±0.0038,0.4592±0.0034,0.4339±0.0059,0.0807±0.0047,0.0946±0.0059,0.1134±0.0078,0.1465±0.0076,0.5049±0.0293,0.4512±0.0354,0.3769±0.0230,0.2751±0.0124,0.0450±0.0027,0.0543±0.0036,0.0684±0.0051,0.1012±0.0059,1.0000±0.0001,0.9994±0.0004,0.9964±0.0035,0.9813±0.0096,0.1074±0.0022,0.1282±0.0068,0.1526±0.0078,0.1929±0.0099,0.5743±0.0183,0.5280±0.0213,0.4606±0.0181,0.3514±0.0150,0.0592±0.0012,0.0730±0.0042,0.0915±0.0055,0.1330±0.0079,0.4551±0.0025,0.4508±0.0038,0.4404±0.0034,0.4053±0.0055
